Rank,ID,Name,Mint,Image,Total Yield
28,690,SolStein #690,ESjPWq1D3KXpmJH634s2hH3wvLeGmEXW94oeTExRPuUh,https://www.arweave.net/NBdOlMNwEvQbi1MZGf806pELC3d3R04tLHluyVhqcJQ?ext=png,19274.1283
29,3158,Quantum Trader #3158,4KkWgE2Wh2CbizrmFjeoMkmTrBwtdYES6biguukbD1dH,https://arweave.net/_SQeKVZlBOoSaghvL__XEP7dCctDY1Xzqw9rbVv8YIk,19273.2468
30,1514,Quantum Trader #1514,GSNdB37CH6mbKPQPfBs6KPm8o8yrhcz54MkBG5ZrRwYv,https://arweave.net/0BoVCkTBO17U8hQ50mW7DaXjQd_4x53_a5HlbnO7uwc,19272.3653
31,5312,SolStein #5312,HRWe7gumzzYocA3AXRqNxU264TnZJWCd8qziRgr2En3Q,https://www.arweave.net/8fD1DSwQqtoVmK-uXHa_zHdZX0ZKkDvaBpjILWFx-Os?ext=png,19271.4837
32,8421,Quantum Trader #8421,FQynDuqwQQyUzS5gmwwSZzt36F5Waz2UxkKZJq8Yvt2H,https://arweave.net/b8QFEXFrNeojCsagzdo3SLKwern4snFZVcc9_2B8Moc,19270.6022
33,3434,Quantum Trader #3434,6BrLZ4xcJnyJJvkaQbxWXHSEgs72mUsGkKjsyBuiS652,https://arweave.net/MIdJzKNKCxtIpKVTrLEE1_JwgWwprpDqwfX27lmdr8E,19269.7207
34,5856,SolStein #5856,Bzmhif2uotRjtLbjHTNzivPqq97ZJhnT3S6BpDMgSBti,https://www.arweave.net/h_7NfiMdhxCq1XV7Z3iD53cVoONkprJr3OPUYWrJWgs?ext=png,19268.8391
35,7094,Quantum Trader #7094,9HEVpDCNDPKNmtyRLxW7bY8fMruQj5bHiQsbHhEvusPs,https://arweave.net/D0UXAfn1RxgSV6-LCiaXxB4uAQQHpI0E0RiMR79QNtc,19267.9576
36,2135,Quantum Trader #2135,dNFhriZyxXZH47dZ54WxyU9tBbk5d8rWnanXaS5DH8r,https://arweave.net/yZYMPh0WV9AvJ7CW7gCiiUV74FQsXFF5GY-HCPVMEHM,19267.076
37,7673,SolStein #7673,2ifb2vzRdC1VeBFhTCWogTAc4WeH5PgYY3GEFfobzS7j,https://www.arweave.net/WgH5A6baVXKB83t21OnH7JwwWNVz_EJl8ey661vBmtg?ext=png,19266.1945
38,7686,Quantum Trader #7686,B4WAbRHoaLtSWhURHv7kdoKn6ehztiJ5aL8CQas44HPh,https://arweave.net/mUAV92MMynx6j3EI0ku4zMpz9P3VB2SgsG-n0Px3HbY,19265.313
39,831,Quantum Trader #831,EEum5aFe6UJaX1CneQak5bpdAUgRpvZeBjrx3EaGwq24,https://arweave.net/RPBnVtdidm8FCRvLwWgM7GiV0T4F6eQD7T0knoXNfdY,19264.4314
40,11,SolStein #11,6otJLEKuSypj8RpqyDcg2F8MKydyZ95D3pTtS5s2zh6A,https://www.arweave.net/3POWSZdf3HflXk1m1Cgt1lkLq0Er2DKr_gEBWF_y4pY?ext=png,19263.5499
41,5981,Quantum Trader #5981,EpHfteoMnzb6UK8vkAttpMUjEwxD5W8obcLiQY3rCo2b,https://arweave.net/Tb2bF4LiwdLet7GEFI16X0uiROduRoUBdGHdH7YskqI,19262.6684
42,881,Quantum Trader #881,FzQoPXrS4coEPbG46FQ8vXUTWbUCnwiHJx5X7Z6qgM4H,https://arweave.net/5q5YOypl7pU-uwHT_aNOaar47SDz2SqCoxBHPiESZjE,19261.7868
43,7108,SolStein #7108,uxwWXjDeekawhRJcUNBq86ubFnD8R2Z8vTVSH9VFxiz,https://www.arweave.net/qFIxP1rEkQhQMrb9FTp-XdYZIHoTPuSac9nzO6BJcoU?ext=png,19260.9053
44,3978,Quantum Trader #3978,6yD6t4bC19VbtoJeC5inuGUGQrLac6ULVrduhcMsmLWo,https://arweave.net/wEpvd7Wrc0xooa4ZDReV92HU5taXyxO5Yk7Llksl_IM,19260.0238
45,3993,Quantum Trader #3993,J6yGTafGDCFkW6i2LWXLK9eq33LpsPJCnX3TK6YSniNv,https://arweave.net/N4k94lW5F1j2kvTfqj4Ne0Ah1ujxAelw24aeMvk86iI,19259.1422
46,4083,SolStein #4083,7SH9RZnBNViCFjSZXbZWLyS1GDiXxMkedsyQdWrz1etB,https://www.arweave.net/VqWLQPfVgx4XuEdPTFfpRqD7VC0_PlHp7hGfIbhP2rE?ext=png,19258.2607
47,5377,Quantum Trader #5377,HtnVvHXBs2G2PPWad3X5bjcGcyxupUsC8YTBmcAeo1yZ,https://arweave.net/ofS3NIsumF1rWNy-u1vEAz9jFaD17SpkWQTdDL-6p38,19257.3792
48,762,Quantum Trader #762,BcsUnFz4dyKPCwaeNSMzNQXLXZHo7juemNDseNT7XQAJ,https://arweave.net/DsocB1YcUopCZi2Vb9xgXDnTJTP9KGc5hno27yuiVCQ,19256.4976
49,6181,SolStein #6181,AXJoMVZEkn6fiSxja4Pxf9DpQ71kuFeKWC9682mAfgmE,https://www.arweave.net/8AAStOqgcIwyiKImJwqhMWqpxpK93miSpm4j-t4_UVM?ext=png,19255.6161
50,6726,Quantum Trader #6726,AcatpQuwNXUJTiZincEy5NJiRMznArT5Pd1vadsmYqPj,https://arweave.net/ZRMAWjnvdHG1g9pgAmoSWCurZ70GhbHkt17U1acsxsc,19254.7345
51,7245,Quantum Trader #7245,6ZjszUoEJGS7wR2ndvXG2x6bxb2BJ9jhrG4ZAwyt1mET,https://arweave.net/26nJOjXJzGrxO9QwTj_nFwrNL2u5m9PDtqvLADpF9ic,19253.853
52,5845,SolStein #5845,BsdJtoGFGrMJMPKUGcfAezBm6WVBDPVk4fDLagyjcJZo,https://www.arweave.net/ScVJubVogFeGdj-WlrEPJf4LsCPlwdb3PH6DfhOGLvM?ext=png,19252.9715
53,1516,Quantum Trader #1516,9qnKFdesRHbgyefskjSRSoNGyDfqERqmca1ekPGR7gCa,https://arweave.net/3dbPMngbcDfYRqOWFgE6k0_XOL6Q4gpwYOd9JVkGRCQ,19252.0899
